,Callsign,Service,Channel,City,State,Country,Facility ID Number (unique to each station),N (North) or S (South) Latitude,Degrees Latitude,Minutes Latitude,Seconds Latitude,W (West) or (E) East Longitude,Degrees Longitude,Minutes Longitude,Seconds Longitude,Licensee or Permittee,long_decimal,lat_decimal
22,WKRE,FM,201,ARGO,AL,US,169863,N,33,41,43.3,W,86,31,2.9,TBTA MINISTRIES,-86.51747222222222,33.695361111111104
23,WSJL,FM,201,BESSEMER,AL,US,88660,N,33,23,45.4,W,87,1,7.0,"ELIJAH RADIO, INC.",-87.01861111111111,33.395944444444446
24,WAYH,FM,201,HARVEST,AL,US,61509,N,34,49,8.3,W,86,44,19.0,HOPE MEDIA GROUP,-86.73861111111111,34.81897222222223
25,KBAP,FM,201,BATESVILLE,AR,US,175536,N,35,47,52.2,W,91,40,16.5,TONY V. HAMMACK MINISTRIES,-91.67125,35.79783333333333
26,KRQA,FM,201,BENTONVILLE,AR,US,77546,N,36,23,37.3,W,94,10,53.7,EDUCATIONAL MEDIA FOUNDATION,-94.18158333333334,36.39369444444444
27,KARH,FM,201,FORREST CITY,AR,US,81728,N,35,12,11.3,W,90,33,57.4,AMERICAN FAMILY ASSOCIATION,-90.56594444444444,35.203138888888894
28,KBPW,FM,201,HAMPTON,AR,US,91490,N,33,32,11.4,W,92,28,7.6,AMERICAN FAMILY ASSOCIATION,-92.46877777777777,33.5365
29,KCGS-FM,FM,201,MARSHALL,AR,US,765851,N,35,54,5,W,92,36,58,"ICHTHUS FAMILY HOPE, INC.",-92.61611111111111,35.90138888888889
31,-,FM,201,DEWEY-HUMBOLDT,AZ,US,768270,N,34,29,19,W,112,32,18,"ONDAS DE VIDA, INC.",-112.53833333333333,34.48861111111111
32,K201IB,FX,201,HEBER-OVERGAARD,AZ,US,146233,N,34,25,20.1,W,110,33,58.4,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",-110.56622222222222,34.42225
33,K201ER,FX,201,HOLBROOK,AZ,US,89665,N,34,55,5.1,W,110,8,27.4,"ADVANCE MINISTRIES, INC. D/B/A/ NEW LIFE CHRISTIAN SCHOOL",-110.14094444444446,34.91808333333333
34,KUYI,FM,201,HOTEVILLA,AZ,US,85622,N,35,48,29.0,W,110,16,25.5,THE HOPI FOUNDATION,-110.27374999999999,35.808055555555555
35,KLTU,FM,201,MAMMOTH,AZ,US,79359,N,32,14,56.2,W,111,7,1.1,EDUCATIONAL MEDIA FOUNDATION,-111.11697222222222,32.24894444444445
36,-,FM,201,PAYSON,AZ,US,767421,N,34,17,16.1,W,111,11,36.4,"KPJM-LP, INC.",-111.19344444444445,34.28780555555555
37,KREE,FM,201,PIRTLEVILLE,AZ,US,174148,N,31,20,54.4,W,109,28,48.2,"RADIO BILINGUE, INC.",-109.48005555555555,31.348444444444443
38,K202BU,FX,201,QUARTZSITE,AZ,US,16763,N,33,40,3.1,W,114,3,35.7,"ADVANCE MINISTRIES, INC. D/B/A",-114.05991666666667,33.66752777777778
39,KNNB,FM,201,WHITERIVER,AZ,US,2406,N,33,45,47.1,W,109,57,41.3,APACHE RADIO BROADCASTING CORPORATION,-109.96147222222223,33.763083333333334
